Campaign,Ad Group,Ad Group Type,Status,Max CPC
[Pesquisa] Ecobraz — Coletas B2B,Lixo eletrônico — Empresas,Standard,Enabled,3.00
[Pesquisa] Ecobraz — Coletas B2B,Ativos de TI desmobilizados,Standard,Enabled,3.00
[Pesquisa] Ecobraz — Coletas B2B,Sanitização de dados,Standard,Enabled,3.00
[Pesquisa] Ecobraz — Coletas B2B,Destruição de dados e mídias,Standard,Enabled,3.00
[Pesquisa] Ecobraz — Coletas B2B,Data center e servidores,Standard,Enabled,3.00
[Pesquisa] Ecobraz — Coletas B2B,Equipamentos hospitalares eletrônicos,Standard,Enabled,3.00
[Pesquisa] Ecobraz — Coletas B2B,Linha branca e eletrodomésticos — Lotes,Standard,Enabled,3.00
[Pesquisa] Ecobraz — Coletas B2B,Logística reversa — Fabricantes,Standard,Enabled,3.00
